"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
CA,SACRAMENTO,D,"Gore, Albert",212792,49.3,"Bush, George",195619,45.3,"Nader, Ralph",17659,4.1
CA,"SAN BENITO",D,"Gore, Albert",9131,54.3,"Bush, George",7015,41.7,"Nader, Ralph",535,3.2
CA,"SAN BERNARDINO",R,"Gore, Albert",214749,47.2,"Bush, George",221757,48.7,"Nader, Ralph",11775,2.6
CA,"SAN DIEGO",R,"Gore, Albert",437666,45.7,"Bush, George",475736,49.6,"Nader, Ralph",33979,3.5
CA,"SAN FRANCISCO",D,"Gore, Albert",241578,75.5,"Bush, George",51496,16.1,"Nader, Ralph",24828,7.8
CA,"SAN JOAQUIN",R,"Gore, Albert",79776,47.7,"Bush, George",81773,48.9,"Nader, Ralph",4195,2.5
CA,"SAN LUIS OBISPO",R,"Gore, Albert",44526,40.9,"Bush, George",56859,52.2,"Nader, Ralph",6523,6
CA,"SAN MATEO",D,"Gore, Albert",166757,64.3,"Bush, George",80296,31,"Nader, Ralph",10433,4
CA,"SANTA BARBARA",D,"Gore, Albert",73411,47.4,"Bush, George",71493,46.1,"Nader, Ralph",8664,5.6
CA,"SANTA CLARA",D,"Gore, Albert",332490,60.7,"Bush, George",188750,34.4,"Nader, Ralph",19072,3.5
CA,"SANTA CRUZ",D,"Gore, Albert",66618,61.5,"Bush, George",29627,27.3,"Nader, Ralph",10844,10
CA,SHASTA,R,"Gore, Albert",20127,30.2,"Bush, George",43278,65,"Nader, Ralph",2131,3.2
